code,strand,grade,anchor,category,text,progressive_skill
RL.1.9,RL,1,9,IKI,Compare and contrast the adventures and experiences of characters in stories.,
RL.2.1,RL,2,1,KID,"Ask and answer such questions as who, what, where, when, why, and how to demonstrate understanding of key details in a text.",
RL.2.10,RL,2,10,RRTC,"By the end of the year, read and comprehend literature, including stories and poetry, in the grades 2-3 text complexity band proficiently, with scaffolding as needed at the high end of the range.",
RL.2.2,RL,2,2,KID,"Recount stories, including fables and folktales from diverse cultures, and determine their central message, lesson, or moral.",
RL.2.3,RL,2,3,KID,Describe how characters in a story respond to major events and challenges.,
RL.2.4,RL,2,4,CS,"Describe how words and phrases (e.g., regular beats, alliteration, rhymes, repeated lines) supply rhythm and meaning in a story, poem, or song.",
RL.2.5,RL,2,5,CS,"Describe the overall structure of a story, including describing how the beginning introduces the story and the ending concludes the action.",
RL.2.6,RL,2,6,CS,"Acknowledge differences in the points of view of characters, including by speaking in a different voice for each character when reading dialogue aloud.",
RL.2.7,RL,2,7,IKI,"Use information gained from the illustrations and words in a print or digital text to demonstrate understanding of its characters, setting, or plot.",
RL.2.8,RL,2,8,IKI,[Not applicable to literature],
RL.2.9,RL,2,9,IKI,"Compare and contrast two or more versions of the same story (e.g., Cinderella stories) by different authors or from different cultures.",
RL.3.1,RL,3,1,KID,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",
RL.3.10,RL,3,10,RRTC,"By the end of the year, read and comprehend literature, including stories, dramas, and poetry, at the high end of the grades 2-3 text complexity band independently and proficiently.",
RL.3.2,RL,3,2,KID,"Recount stories, including fables, folktales, and myths from diverse cultures; determine the central message, lesson, or moral and explain how it is conveyed through key details in the text.",
RL.3.3,RL,3,3,KID,"Describe characters in a story (e.g., their traits, motivations, or feelings) and explain how their actions contribute to the sequence of events.",
RL.3.4,RL,3,4,CS,"Determine the meaning of words and phrases as they are used in a text, distinguishing literal from nonliteral language.",
RL.3.5,RL,3,5,CS,"Refer to parts of stories, dramas, and poems when writing or speaking about a text, using terms such as chapter, scene, and stanza; describe how each successive part builds on earlier sections.",
RL.3.6,RL,3,6,CS,Distinguish their own point of view from that of the narrator or those of the characters.,
RL.3.7,RL,3,7,IKI,"Explain how specific aspects of a text's illustrations contribute to what is conveyed by the words in a story (e.g., create mood, emphasize aspects of a character or setting).",
RL.3.8,RL,3,8,IKI,[Not applicable to literature],
RL.3.9,RL,3,9,IKI,"Compare and contrast the themes, settings, and plots of stories written by the same author about the same or similar characters (e.g., in books from a series).",
RL.4.1,RL,4,1,KID,Refer to details and examples in a text when explaining what the text says explicitly and when drawing inferences from the text.,
RL.4.10,RL,4,10,RRTC,"By the end of the year, read and comprehend literature, including stories, dramas, and poetry, in the grades 4-5 text complexity band proficiently, with scaffolding as needed at the high end of the range.",
RL.4.2,RL,4,2,KID,"Determine a theme of a story, drama, or poem from details in the text; summarize the text.",
RL.4.3,RL,4,3,KID,"Describe in depth a character, setting, or event in a story or drama, drawing on specific details in the text (e.g., a character's thoughts, words, or actions).",
RL.4.4,RL,4,4,CS,"Determine the meaning of words and phrases as they are used in a text, including those that allude to significant characters found in mythology (e.g., Herculean).",
RL.4.5,RL,4,5,CS,"Explain major differences between poems, drama, and prose, and refer to the structural elements of poems (e.g., verse, rhythm, meter) and drama (e.g., casts of characters, settings, descriptions, dialogue, stage directions) when writing or speaking about a text.",
RL.4.6,RL,4,6,CS,"Compare and contrast the point of view from which different stories are narrated, including the difference between first- and third-person narrations.",
RL.4.7,RL,4,7,IKI,"Make connections between the text of a story or drama and a visual or oral presentation of the text, identifying where each version reflects specific descriptions and directions in the text.",
RL.4.8,RL,4,8,IKI,[Not applicable to literature],
RL.4.9,RL,4,9,IKI,"Compare and contrast the treatment of similar themes and topics (e.g., opposition of good and evil) and patterns of events (e.g., the quest) in stories, myths, and traditional literature from different cultures.",
RL.5.1,RL,5,1,KID,Quote accurately from a text when explaining what the text says explicitly and when drawing inferences from the text.,
RL.5.10,RL,5,10,RRTC,"By the end of the year, read and comprehend literature, including stories, dramas, and poetry, at the high end of the grades 4-5 text complexity band independently and proficiently.",
RL.5.2,RL,5,2,KID,"Determine a theme of a story, drama, or poem from details in the text, including how characters in a story or drama respond to challenges or how the speaker in a poem reflects upon a topic; summarize the text.",
RL.5.3,RL,5,3,KID,"Compare and contrast two or more characters, settings, or events in a story or drama, drawing on specific details in the text (e.g., how characters interact).",
RL.5.4,RL,5,4,CS,"Determine the meaning of words and phrases as they are used in a text, including figurative language such as metaphors and similes.",
RL.5.5,RL,5,5,CS,"Explain how a series of chapters, scenes, or stanzas fits together to provide the overall structure of a particular story, drama, or poem.",
RL.5.6,RL,5,6,CS,Describe how a narrator's or speaker's point of view influences how events are described.,
RL.5.7,RL,5,7,IKI,"Analyze how visual and multimedia elements contribute to the meaning, tone, or beauty of a text (e.g., graphic novel, multimedia presentation of fiction, folktale, myth, poem).",
RL.5.8,RL,5,8,IKI,[Not applicable to literature],
RL.5.9,RL,5,9,IKI,"Compare and contrast stories in the same genre (e.g., mysteries and adventure stories) on their approaches to similar themes and topics.",
RL.6.1,RL,6,1,KID,Cite textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.,
RL.6.10,RL,6,10,RRTC,"By the end of the year, read and comprehend literature, including stories, dramas, and poems, in the grades 6-8 text complexity band proficiently, with scaffolding as needed at the high end of the range.",
RL.6.2,RL,6,2,KID,Determine a theme or central idea of a text and how it is conveyed through particular details; provide a summary of the text distinct from personal opinions or judgments.,
RL.6.3,RL,6,3,KID,Describe how a particular story's or drama's plot unfolds in a series of episodes as well as how the characters respond or change as the plot moves toward a resolution.,
RL.6.4,RL,6,4,CS,"Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings; analyze the impact of a specific word choice on meaning and tone.",
RL.6.5,RL,6,5,CS,"Analyze how a particular sentence, chapter, scene, or stanza fits into the overall structure of a text and contributes to the development of the theme, setting, or plot.",
RL.6.6,RL,6,6,CS,Explain how an author develops the point of view of the narrator or speaker in a text.,
RL.6.7,RL,6,7,IKI,"Compare and contrast the experience of reading a story, drama, or poem to listening to or viewing an audio, video, or live version of the text, including contrasting what they ""see"" and ""hear"" when reading the text to what they perceive when they listen or watch.",
RL.6.8,RL,6,8,IKI,[Not applicable to literature],
RL.6.9,RL,6,9,IKI,"Compare and contrast texts in different forms or genres (e.g., stories and poems; historical novels and fantasy stories) in terms of their approaches to similar themes and topics.",
RL.7.1,RL,7,1,KID,Cite several pieces of textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.,
RL.7.10,RL,7,10,RRTC,"By the end of the year, read and comprehend literature, including stories, dramas, and poems, in the grades 6-8 text complexity band proficiently, with scaffolding as needed at the high end of the range.",
RL.7.2,RL,7,2,KID,Determine a theme or central idea of a text and analyze its development over the course of the text; provide an objective summary of the text.,
RL.7.3,RL,7,3,KID,"Analyze how particular elements of a story or drama interact (e.g., how setting shapes the characters or plot).",
RL.7.4,RL,7,4,CS,"Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings; analyze the impact of rhymes and other repetitions of sounds (e.g., alliteration) on a specific verse or stanza of a poem or section of a story or drama.",
RL.7.5,RL,7,5,CS,"Analyze how a drama's or poem's form or structure (e.g., soliloquy, sonnet) contributes to its meaning.",
RL.7.6,RL,7,6,CS,Analyze how an author develops and contrasts the points of view of different characters or narrators in a text.,
RL.7.7,RL,7,7,IKI,"Compare and contrast a written story, drama, or poem to its audio, filmed, staged, or multimedia version, analyzing the effects of techniques unique to each medium (e.g., lighting, sound, color, or camera focus and angles in a film).",
RL.7.8,RL,7,8,IKI,[Not applicable to literature],
RL.7.9,RL,7,9,IKI,"Compare and contrast a fictional portrayal of a time, place, or character and a historical account of the same period as a means of understanding how authors of fiction use or alter history.",
RL.8.1,RL,8,1,KID,Cite the textual evidence that most strongly supports an analysis of what the text says explicitly as well as inferences drawn from the text.,
RL.8.10,RL,8,10,RRTC,"By the end of the year, read and comprehend literature, including stories, dramas, and poems, at the high end of grades 6-8 text complexity band independently and proficiently.",
RL.8.2,RL,8,2,KID,"Determine a theme or central idea of a text and analyze its development over the course of the text, including its relationship to the characters, setting, and plot; provide an objective summary of the text.",
RL.8.3,RL,8,3,KID,"Analyze how particular lines of dialogue or incidents in a story or drama propel the action, reveal aspects of a character, or provoke a decision.",
RL.8.4,RL,8,4,CS,"Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings; analyze the impact of specific word choices on meaning and tone, including analogies or allusions to other texts.",
RL.8.5,RL,8,5,CS,Compare and contrast the structure of two or more texts and analyze how the differing structure of each text contributes to its meaning and style.,
RL.8.6,RL,8,6,CS,"Analyze how differences in the points of view of the characters and the audience or reader (e.g., created through the use of dramatic irony) create such effects as suspense or humor.",
RL.8.7,RL,8,7,IKI,"Analyze the extent to which a filmed or live production of a story or drama stays faithful to or departs from the text or script, evaluating the choices made by the director or actors.",
RL.8.8,RL,8,8,IKI,[Not applicable to literature],
RL.8.9,RL,8,9,IKI,"Analyze how a modern work of fiction draws on themes, patterns of events, or character types from myths, traditional stories, or religious works such as the Bible, including describing how the material is rendered new.",
RL.9-10.1,RL,9-10,1,KID,Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.,
RL.9-10.10,RL,9-10,10,RRTC,"By the end of grade 9, read and comprehend literature, including stories, dramas, and poems, in the grades 9-10 text complexity band proficiently, with scaffolding as needed at the high end of the range. By the end of grade 10, read and comprehend literature at the high end of the grades 9-10 text complexity band independently and proficiently.",
RL.9-10.2,RL,9-10,2,KID,"Determine a theme or central idea of a text and analyze in detail its development over the course of the text, including how it emerges and is shaped and refined by specific details; provide an objective summary of the text.",
RL.9-10.3,RL,9-10,3,KID,"Analyze how complex characters (e.g., those with multiple or conflicting motivations) develop over the course of a text, interact with other characters, and advance the plot or develop the theme.",
RL.9-10.4,RL,9-10,4,CS,"Determine the meaning of words and phrases as they are used in the text, including figurative and connotative meanings; analyze the cumulative impact of specific word choices on meaning and tone (e.g., how the language evokes a sense of time and place; how it sets a formal or informal tone).",
RL.9-10.5,RL,9-10,5,CS,"Analyze how an author's choices concerning how to structure a text, order events within it (e.g., parallel plots), and manipulate time (e.g., pacing, flashbacks) create such effects as mystery, tension, or surprise.",
RL.9-10.6,RL,9-10,6,CS,"Analyze a particular point of view or cultural experience reflected in a work of literature from outside the United States, drawing on a wide reading of world literature.",
RL.9-10.7,RL,9-10,7,IKI,"Analyze the representation of a subject or a key scene in two different artistic mediums, including what is emphasized or absent in each treatment (e.g., Auden's ""Musee des Beaux Arts"" and Breughel's Landscape with the Fall of Icarus).",
RL.9-10.8,RL,9-10,8,IKI,[Not applicable to literature],
RL.9-10.9,RL,9-10,9,IKI,"Analyze how an author draws on and transforms source material in a specific work (e.g., how Shakespeare treats a theme or topic from Ovid or the Bible or how a later author draws on a play by Shakespeare).",
RL.11-12.1,RL,11-12,1,KID,"Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text, including determining where the text leaves matters uncertain.",
RL.11-12.10,RL,11-12,10,RRTC,"By the end of grade 11, read and comprehend literature, including stories, dramas, and poems, in the grades 11-CCR text complexity band proficiently, with scaffolding as needed at the high end of the range. By the end of grade 12, read and comprehend literature at the high end of the grades 11-CCR text complexity band independently and proficiently.",
RL.11-12.2,RL,11-12,2,KID,"Determine two or more themes or central ideas of a text and analyze their development over the course of the text, including how they interact and build on one another to produce a complex account; provide an objective summary of the text.",
RL.11-12.3,RL,11-12,3,KID,"Analyze the impact of the author's choices regarding how to develop and relate elements of a story or drama (e.g., where a story is set, how the action is ordered, how the characters are introduced and developed).",
RL.11-12.4,RL,11-12,4,CS,"Determine the meaning of words and phrases as they are used in the text, including figurative and connotative meanings; analyze the impact of specific word choices on meaning and tone, including words with multiple meanings or language that is particularly fresh, engaging, or beautiful. (Include Shakespeare as well as other authors.)",
RL.11-12.5,RL,11-12,5,CS,"Analyze how an author's choices concerning how to structure specific parts of a text (e.g., the choice of where to begin or end a story, the choice to provide a comedic or tragic resolution) contribute to its overall structure and meaning as well as its aesthetic impact.",
RL.11-12.6,RL,11-12,6,CS,"Analyze a case in which grasping point of view requires distinguishing what is directly stated in a text from what is really meant (e.g., satire, sarcasm, irony, or understatement).",
RL.11-12.7,RL,11-12,7,IKI,"Analyze multiple interpretations of a story, drama, or poem (e.g., recorded or live production of a play or recorded novel or poetry), evaluating how each version interprets the source text. (Include at least one play by Shakespeare and one play by an American dramatist.)",
RL.11-12.8,RL,11-12,8,IKI,[Not applicable to literature],
RL.11-12.9,RL,11-12,9,IKI,"Demonstrate knowledge of eighteenth-, nineteenth- and early-twentieth-century foundational works of American literature, including how two or more texts from the same period treat similar themes or topics.",
RI.K.1,RI,K,1,KID,"With prompting and support, ask and answer questions about key details in a text.",
RI.K.10,RI,K,10,RRTC,Actively engage in group reading activities with purpose and understanding.,
RI.K.2,RI,K,2,KID,"With prompting and support, identify the main topic and retell key details of a text.",
RI.K.3,RI,K,3,KID,"With prompting and support, describe the connection between two individuals, events, ideas, or pieces of information in a text.",
RI.K.4,RI,K,4,CS,"With prompting and support, ask and answer questions about unknown words in a text.",
RI.K.5,RI,K,5,CS,"Identify the front cover, back cover, and title page of a book.",
RI.K.6,RI,K,6,CS,Name the author and illustrator of a text and define the role of each in presenting the ideas or information in a text.,
RI.K.7,RI,K,7,IKI,"With prompting and support, describe the relationship between illustrations and the text in which they appear (e.g., what person, place, thing, or idea in the text an illustration depicts).",
RI.K.8,RI,K,8,IKI,"With prompting and support, identify the reasons an author gives to support points in a text.",
RI.K.9,RI,K,9,IKI,"With prompting and support, identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures).",
RI.1.1,RI,1,1,KID,Ask and answer questions about key details in a text.,
RI.1.10,RI,1,10,RRTC,"With prompting and support, read informational texts appropriately complex for grade 1.",
RI.1.2,RI,1,2,KID,Identify the main topic and retell key details of a text.,
RI.1.3,RI,1,3,KID,"Describe the connection between two individuals, events, ideas, or pieces of information in a text.",
RI.1.4,RI,1,4,CS,Ask and answer questions to help determine or clarify the meaning of words and phrases in a text.,
RI.1.5,RI,1,5,CS,"Know and use various text features (e.g., headings, tables of contents, glossaries, electronic menus, icons) to locate key facts or information in a text.",
RI.1.6,RI,1,6,CS,Distinguish between information provided by pictures or other illustrations and information provided by the words in a text.,
RI.1.7,RI,1,7,IKI,Use the illustrations and details in a text to describe its key ideas.,
RI.1.8,RI,1,8,IKI,Identify the reasons an author gives to support points in a text.,
RI.1.9,RI,1,9,IKI,"Identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures).",
RI.2.1,RI,2,1,KID,"Ask and answer such questions as who, what, where, when, why, and how to demonstrate understanding of key details in a text.",
RI.2.10,RI,2,10,RRTC,"By the end of year, read and comprehend informational texts, including history/social studies, science, and technical texts, in the grades 2-3 text complexity band proficiently, with scaffolding as needed at the high end of the range.",
RI.2.2,RI,2,2,KID,Identify the main topic of a multiparagraph text as well as the focus of specific paragraphs within the text.,
RI.2.3,RI,2,3,KID,"Describe the connection between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text.",
RI.2.4,RI,2,4,CS,Determine the meaning of words and phrases in a text relevant to a grade 2 topic or subject area.,
RI.2.5,RI,2,5,CS,"Know and use various text features (e.g., captions, bold print, subheadings, glossaries, indexes, electronic menus, icons) to locate key facts or information in a text efficiently.",
RI.2.6,RI,2,6,CS,"Identify the main purpose of a text, including what the author wants to answer, explain, or describe.",
RI.2.7,RI,2,7,IKI,"Explain how specific images (e.g., a diagram showing how a machine works) contribute to and clarify a text.",
RI.2.8,RI,2,8,IKI,Describe how reasons support specific points the author makes in a text.,
RI.2.9,RI,2,9,IKI,Compare and contrast the most important points presented by two texts on the same topic.,
RI.3.1,RI,3,1,KID,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",
RI.3.10,RI,3,10,RRTC,"By the end of the year, read and comprehend informational texts, including history/social studies, science, and technical texts, at the high end of the grades 2-3 text complexity band independently and proficiently.",
RI.3.2,RI,3,2,KID,Determine the main idea of a text; recount the key details and explain how they support the main idea.,
RI.3.3,RI,3,3,KID,"Describe the relationship between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text, using language that pertains to time, sequence, and cause/effect.",
RI.3.4,RI,3,4,CS,Determine the meaning of general academic and domain-specific words and phrases in a text relevant to a grade 3 topic or subject area.,
RI.3.5,RI,3,5,CS,"Use text features and search tools (e.g., key words, sidebars, hyperlinks) to locate information relevant to a given topic efficiently.",
RI.3.6,RI,3,6,CS,Distinguish their own point of view from that of the author of a text.,
RI.3.7,RI,3,7,IKI,"Use information gained from illustrations (e.g., maps, photographs) and the words in a text to demonstrate understanding of the text (e.g., where, when, why, and how key events occur).",
RI.3.8,RI,3,8,IKI,"Describe the logical connection between particular sentences and paragraphs in a text (e.g., comparison, cause/effect, first/second/third in a sequence).",
RI.3.9,RI,3,9,IKI,Compare and contrast the most important points and key details presented in two texts on the same topic.,
RI.4.1,RI,4,1,KID,Refer to details and examples in a text when explaining what the text says explicitly and when drawing inferences from the text.,
RI.4.10,RI,4,10,RRTC,"By the end of year, read and comprehend informational texts, including history/social studies, science, and technical texts, in the grades 4-5 text complexity band proficiently, with scaffolding as needed at the high end of the range.",
RI.4.2,RI,4,2,KID,Determine the main idea of a text and explain how it is supported by key details; summarize the text.,
RI.4.3,RI,4,3,KID,"Explain events, procedures, ideas, or concepts in a historical, scientific, or technical text, including what happened and why, based on specific information in the text.",
RI.4.4,RI,4,4,CS,Determine the meaning of general academic and domain-specific words or phrases in a text relevant to a grade 4 topic or subject area.,
RI.4.5,RI,4,5,CS,"Describe the overall structure (e.g., chronology, comparison, cause/effect, problem/solution) of events, ideas, concepts, or information in a text or part of a text.",
RI.4.6,RI,4,6,CS,Compare and contrast a firsthand and secondhand account of the same event or topic; describe the differences in focus and the information provided.,
RI.4.7,RI,4,7,IKI,"Interpret information presented visually, orally, or quantitatively (e.g., in charts, graphs, diagrams, time lines, animations, or interactive elements on Web pages) and explain how the information contributes to an understanding of the text in which it appears.",
RI.4.8,RI,4,8,IKI,Explain how an author uses reasons and evidence to support particular points in a text.,
RI.4.9,RI,4,9,IKI,Integrate information from two texts on the same topic in order to write or speak about the subject knowledgeably.,
RI.5.1,RI,5,1,KID,Quote accurately from a text when explaining what the text says explicitly and when drawing inferences from the text.,
RI.5.10,RI,5,10,RRTC,"By the end of the year, read and comprehend informational texts, including history/social studies, science, and technical texts, at the high end of the grades 4-5 text complexity band independently and proficiently.",
RI.5.2,RI,5,2,KID,Determine two or more main ideas of a text and explain how they are supported by key details; summarize the text.,
RI.5.3,RI,5,3,KID,"Explain the relationships or interactions between two or more individuals, events, ideas, or concepts in a historical, scientific, or technical text based on specific information in the text.",
RI.5.4,RI,5,4,CS,Determine the meaning of general academic and domain-specific words and phrases in a text relevant to a grade 5 topic or subject area.,
